Domain,Total,Validated,Refuted,Inconclusive,Validation Rate (%)
perturbation_direction,1,1,0,0,100.0
phase_transitions,2,0,1,1,0.0
pixel_dependence,1,1,0,0,100.0
pixel_histogram_shape,1,1,0,0,100.0
pixel_statistics,1,1,0,0,100.0
png_compression,1,1,0,0,100.0
prior_comparison,1,1,0,0,100.0
prior_structure,2,0,2,0,0.0
receptive_field,1,1,0,0,100.0
reconstruction_quality,2,1,1,0,50.0
recurrent_connections,1,1,0,0,100.0
regularization_effects,1,0,1,0,0.0
representation_learning,1,0,1,0,0.0
resolution_effect,1,1,0,0,100.0
run_length_encoding,1,1,0,0,100.0
sampling_dynamics,1,0,1,0,0.0
sampling_efficiency,2,0,2,0,0.0
sampling_geometry,2,2,0,0,100.0
sampling_strategies,1,0,1,0,0.0
sampling_temperature,1,0,1,0,0.0
sampling_trajectory,1,0,1,0,0.0
sampling_trajectory_geometry,1,0,1,0,0.0
scale_dependence,2,1,0,1,50.0
scaling_laws,3,1,2,0,33.3
scaling_validation,6,3,1,2,50.0
skip_connections,1,0,1,0,0.0
spatial_autocorrelation,1,1,0,0,100.0
spatial_structure,1,1,0,0,100.0
spectral_analysis,1,1,0,0,100.0
spectral_topology,1,1,0,0,100.0
symmetry_analysis,1,1,0,0,100.0
symmetry_distribution,1,1,0,0,100.0
symmetry_mechanisms,1,1,0,0,100.0
symmetry_types,1,1,0,0,100.0
temporal_dynamics,2,1,1,0,50.0
threshold_behavior,1,0,1,0,0.0
threshold_effects,1,0,1,0,0.0
threshold_sensitivity,1,0,1,0,0.0
topological_analysis,1,1,0,0,100.0
topology_analysis,1,0,1,0,0.0
topology_features,1,0,1,0,0.0
trajectory_variance,1,1,0,0,100.0
weight_correlation_layers,1,0,1,0,0.0
weight_correlations,1,0,1,0,0.0
weight_distribution_shape,1,0,1,0,0.0
weight_dynamics,1,0,1,0,0.0
weight_geometry,2,0,2,0,0.0
weight_gradient_flow,1,0,1,0,0.0
weight_gradient_structure,1,1,0,0,100.0
weight_init_scale,1,0,1,0,0.0
weight_initialization,1,1,0,0,100.0
weight_interaction,1,1,0,0,100.0
weight_magnitude_distribution,1,0,1,0,0.0
weight_optimization,1,0,1,0,0.0
weight_orthogonality,1,0,1,0,0.0
weight_signs,1,1,0,0,100.0
weight_space_curvature,1,1,0,0,100.0
weight_sparsity,1,0,1,0,0.0
weight_structure,1,1,0,0,100.0
weight_topology,1,0,1,0,0.0
